Mailing ZIP Code,US Congressional District,Gender,Perm ZIP Code,Status Code,Precinct ID,_merge,Age,Age at Registration,Registration Year
78218-9661,23.0,1,1,1,1,1,1,1,1
64124,1.0,1,1,1,1,1,1,1,1
64124,3.0,1,1,1,1,1,1,1,1
64124,4.0,1,1,1,1,1,1,1,1
64124,6.0,4,4,4,4,4,4,4,4
64124,7.0,3,3,3,3,3,3,3,3
64124,11.0,1,1,1,1,1,1,1,1
64124,12.0,11102,11102,11102,11102,11102,11102,11102,11102
64124,13.0,1,1,1,1,1,1,1,1
64124,17.0,1,1,1,1,1,1,1,1
64124,20.0,1,1,1,1,1,1,1,1
64124,24.0,2,2,2,2,2,2,2,2
64124,25.0,8,8,8,8,8,8,8,8
64124,26.0,3,3,3,3,3,3,3,3
64124,30.0,1,1,1,1,1,1,1,1
64124,32.0,1,1,1,1,1,1,1,1
64124,33.0,776,776,776,776,776,776,776,776
64124,36.0,1,1,1,1,1,1,1,1
76114,5.0,2,2,2,2,2,2,2,2
76114,6.0,122,122,122,122,122,122,122,122
76114,12.0,1,1,1,1,1,1,1,1
76114,17.0,1,1,1,1,1,1,1,1
76114,20.0,1,1,1,1,1,1,1,1
76114,24.0,2,2,2,2,2,2,2,2
76114,30.0,34,34,34,34,34,34,34,34
76114,32.0,2,2,2,2,2,2,2,2
76114,33.0,3,3,3,3,3,3,3,3
75154-0000,21.0,1,1,1,1,1,1,1,1
55107,7.0,1,1,1,1,1,1,1,1
55107,21.0,1,1,1,1,1,1,1,1
40508-0000,2.0,1,1,1,1,1,1,1,1
40508-0000,3.0,2,2,2,2,2,2,2,2
40508-0000,4.0,2,2,2,2,2,2,2,2
40508-0000,6.0,35,35,35,35,35,35,35,35
40508-0000,11.0,2,2,2,2,2,2,2,2
40508-0000,12.0,11,11,11,11,11,11,11,11
40508-0000,17.0,2,2,2,2,2,2,2,2
40508-0000,20.0,1,1,1,1,1,1,1,1
40508-0000,24.0,2247,2247,2247,2247,2247,2247,2247,2247
40508-0000,25.0,3,3,3,3,3,3,3,3
40508-0000,26.0,7,7,7,7,7,7,7,7
40508-0000,30.0,9,9,9,9,9,9,9,9
40508-0000,32.0,4,4,4,4,4,4,4,4
40508-0000,33.0,11,11,11,11,11,11,11,11
76155,4.0,1,1,1,1,1,1,1,1
76155,21.0,1,1,1,1,1,1,1,1
72560,21.0,1,1,1,1,1,1,1,1
78259-0212,4.0,1,1,1,1,1,1,1,1
78259-0212,13.0,1,1,1,1,1,1,1,1
78259-0212,21.0,1,1,1,1,1,1,1,1
78259-0212,23.0,3,3,3,3,3,3,3,3
94558,23.0,1,1,1,1,1,1,1,1
78222-3433,28.0,1,1,1,1,1,1,1,1
78154-1315,28.0,1,1,1,1,1,1,1,1
78109-3473,28.0,1,1,1,1,1,1,1,1
78223-4526,2.0,2,2,2,2,2,2,2,2
78223-4526,3.0,3,3,3,3,3,3,3,3
78223-4526,5.0,2,2,2,2,2,2,2,2
78223-4526,6.0,1,1,1,1,1,1,1,1
78223-4526,7.0,3,3,3,3,3,3,3,3
78223-4526,16.0,1,1,1,1,1,1,1,1
