Mailing ZIP Code,US Congressional District,Gender,Perm ZIP Code,Status Code,Precinct ID,_merge,Age,Age at Registration,Registration Year
78212-2349,21.0,1,1,1,1,1,1,1,1
14225,21.0,1,1,1,1,1,1,1,1
14225,28.0,1,1,1,1,1,1,1,1
14225,30.0,1,1,1,1,1,1,1,1
35223,28.0,1,1,1,1,1,1,1,1
78148-3171,21.0,1,1,1,1,1,1,1,1
96367-0082,20.0,1,1,1,1,1,1,1,1
96367-0082,27.0,2,2,2,2,2,2,2,2
78407-0000,23.0,1,1,1,1,1,1,1,1
09464-0020,21.0,2,2,2,2,2,2,2,2
78280-2406,35.0,1,1,1,1,1,1,1,1
74217,28.0,1,1,1,1,1,1,1,1
78265-4357,20.0,1,1,1,1,1,1,1,1
45434-1231,20.0,1,1,1,1,1,1,1,1
78023-0925,28.0,1,1,1,1,1,1,1,1
85747-4654,28.0,2,2,2,2,2,2,2,2
36113-1209,15.0,343,343,343,343,343,343,343,343
36113-1209,17.0,1,1,1,1,1,1,1,1
36113-1209,21.0,1,1,1,1,1,1,1,1
36113-1209,28.0,45,45,45,45,45,45,45,45
36113-1209,32.0,1,1,1,1,1,1,1,1
36113-1209,34.0,15,15,15,15,15,15,15,15
78505,21.0,1,1,1,1,1,1,1,1
78209-3978,21.0,1,1,1,1,1,1,1,1
78216-2187,23.0,1,1,1,1,1,1,1,1
78002-0171,20.0,1,1,1,1,1,1,1,1
78249-2786,11.0,1,1,1,1,1,1,1,1
78249-2786,15.0,1,1,1,1,1,1,1,1
78249-2786,21.0,2,2,2,2,2,2,2,2
78119-0000,20.0,1,1,1,1,1,1,1,1
78023-4627,10.0,1,1,1,1,1,1,1,1
78023-4627,20.0,1,1,1,1,1,1,1,1
78023-4627,27.0,1,1,1,1,1,1,1,1
78023-4627,30.0,1,1,1,1,1,1,1,1
78023-4627,31.0,1,1,1,1,1,1,1,1
38701,21.0,2,2,2,2,2,2,2,2
78278-0922,23.0,2,2,2,2,2,2,2,2
33568,20.0,1,1,1,1,1,1,1,1
78201-4050,13.0,1,1,1,1,1,1,1,1
78201-4050,28.0,1,1,1,1,1,1,1,1
12972,23.0,1,1,1,1,1,1,1,1
78245-3503,23.0,1,1,1,1,1,1,1,1
78245-0122,6.0,1,1,1,1,1,1,1,1
78245-0122,12.0,1,1,1,1,1,1,1,1
78245-0122,20.0,1,1,1,1,1,1,1,1
78245-0122,23.0,2,2,2,2,2,2,2,2
78245-0122,25.0,2,2,2,2,2,2,2,2
78245-0122,27.0,1,1,1,1,1,1,1,1
78245-0122,34.0,1,1,1,1,1,1,1,1
32212,21.0,1,1,1,1,1,1,1,1
77018-1215,21.0,2,2,2,2,2,2,2,2
41071,7.0,1,1,1,1,1,1,1,1
41071,9.0,20,20,20,20,20,20,20,20
41071,18.0,9,9,9,9,9,9,9,9
41071,21.0,1,1,1,1,1,1,1,1
41071,22.0,1,1,1,1,1,1,1,1
41071,27.0,1,1,1,1,1,1,1,1
41071,29.0,3,3,3,3,3,3,3,3
77051-0000,20.0,1,1,1,1,1,1,1,1
78256-3923,21.0,1,1,1,1,1,1,1,1
78238-4078,8.0,1,1,1,1,1,1,1,1
78238-4078,19.0,2,2,2,2,2,2,2,2
78238-4078,35.0,2,2,2,2,2,2,2,2
43065,23.0,1,1,1,1,1,1,1,1
78248-2314,20.0,1,1,1,1,1,1,1,1
96326-5324,28.0,2,2,2,2,2,2,2,2
96204-3012,28.0,1,1,1,1,1,1,1,1
09494-0008,23.0,2,2,2,2,2,2,2,2
78073-0557,23.0,1,1,1,1,1,1,1,1
78211-1417,20.0,1,1,1,1,1,1,1,1
78255-3306,21.0,1,1,1,1,1,1,1,1
09161,16.0,1,1,1,1,1,1,1,1
09161,21.0,1,1,1,1,1,1,1,1
44146,28.0,2,2,2,2,2,2,2,2
78101-0623,9.0,1,1,1,1,1,1,1,1
78101-0623,13.0,1,1,1,1,1,1,1,1
78101-0623,15.0,1,1,1,1,1,1,1,1
78101-0623,21.0,1,1,1,1,1,1,1,1
78101-0623,30.0,1,1,1,1,1,1,1,1
78101-0623,33.0,2,2,2,2,2,2,2,2
78101-0623,34.0,1,1,1,1,1,1,1,1
78101-0623,35.0,1,1,1,1,1,1,1,1
78101-0623,36.0,1,1,1,1,1,1,1,1
60613,23.0,1,1,1,1,1,1,1,1
78073-0186,20.0,1,1,1,1,1,1,1,1
78214-1037,21.0,1,1,1,1,1,1,1,1
78265-3694,15.0,1,1,1,1,1,1,1,1
78265-3694,20.0,1,1,1,1,1,1,1,1
78265-3694,23.0,2,2,2,2,2,2,2,2
96319-0000,23.0,1,1,1,1,1,1,1,1
78069-0116,23.0,1,1,1,1,1,1,1,1
78278-1707,35.0,1,1,1,1,1,1,1,1
78247-5613,28.0,1,1,1,1,1,1,1,1
78244-1104,16.0,1,1,1,1,1,1,1,1
78244-1104,20.0,1,1,1,1,1,1,1,1
78244-1104,22.0,1,1,1,1,1,1,1,1
86011,21.0,1,1,1,1,1,1,1,1
78873-0000,28.0,1,1,1,1,1,1,1,1
85710-2659,20.0,1,1,1,1,1,1,1,1
76063-7279,20.0,1,1,1,1,1,1,1,1
78269-1885,23.0,1,1,1,1,1,1,1,1
78245-1626,20.0,1,1,1,1,1,1,1,1
90660,5.0,1,1,1,1,1,1,1,1
90660,7.0,1,1,1,1,1,1,1,1
90660,14.0,1,1,1,1,1,1,1,1
90660,20.0,1,1,1,1,1,1,1,1
90660,24.0,1,1,1,1,1,1,1,1
90660,30.0,1,1,1,1,1,1,1,1
90660,31.0,1,1,1,1,1,1,1,1
90660,36.0,1,1,1,1,1,1,1,1
22448,6.0,1,1,1,1,1,1,1,1
22448,20.0,1,1,1,1,1,1,1,1
22448,21.0,1,1,1,1,1,1,1,1
92870,21.0,1,1,1,1,1,1,1,1
78269-1581,35.0,1,1,1,1,1,1,1,1
54656-1311,23.0,1,1,1,1,1,1,1,1
78249-3067,21.0,1,1,1,1,1,1,1,1
78212-3351,28.0,1,1,1,1,1,1,1,1
45434-0036,23.0,1,1,1,1,1,1,1,1
42404,9.0,1,1,1,1,1,1,1,1
42404,10.0,1,1,1,1,1,1,1,1
42404,20.0,1,1,1,1,1,1,1,1
42404,21.0,1,1,1,1,1,1,1,1
94002,35.0,1,1,1,1,1,1,1,1
78220-0507,20.0,1,1,1,1,1,1,1,1
31088-6323,28.0,2,2,2,2,2,2,2,2
78112-0050,23.0,1,1,1,1,1,1,1,1
78258-4684,20.0,1,1,1,1,1,1,1,1
78210-2602,23.0,3,3,3,3,3,3,3,3
78069-0083,20.0,1,1,1,1,1,1,1,1
32586,1.0,242,242,242,242,242,242,242,242
32586,20.0,1,1,1,1,1,1,1,1
75688,2.0,2,2,2,2,2,2,2,2
75688,6.0,1,1,1,1,1,1,1,1
75688,7.0,2,2,2,2,2,2,2,2
75688,23.0,2,2,2,2,2,2,2,2
75688,24.0,1,1,1,1,1,1,1,1
75688,35.0,1,1,1,1,1,1,1,1
02155,2.0,1,1,1,1,1,1,1,1
02155,18.0,1,1,1,1,1,1,1,1
02155,21.0,1,1,1,1,1,1,1,1
33301,20.0,1,1,1,1,1,1,1,1
99505-0000,20.0,1,1,1,1,1,1,1,1
39120-0000,28.0,1,1,1,1,1,1,1,1
78148-0472,6.0,15,15,15,15,15,15,15,15
78148-0472,12.0,16,16,16,16,16,16,16,16
78148-0472,24.0,2,2,2,2,2,2,2,2
78148-0472,30.0,1,1,1,1,1,1,1,1
78148-0472,32.0,1,1,1,1,1,1,1,1
78148-0472,33.0,15,15,15,15,15,15,15,15
78148-0472,35.0,1,1,1,1,1,1,1,1
76134-0000,20.0,1,1,1,1,1,1,1,1
59255,20.0,1,1,1,1,1,1,1,1
78216-6704,20.0,1,1,1,1,1,1,1,1
09012-0101,21.0,1,1,1,1,1,1,1,1
98201,21.0,1,1,1,1,1,1,1,1
09630-0009,21.0,1,1,1,1,1,1,1,1
21014-5209,20.0,1,1,1,1,1,1,1,1
78268-7653,21.0,1,1,1,1,1,1,1,1
09049-0005,15.0,1374,1374,1374,1374,1374,1374,1374,1374
09049-0005,17.0,1,1,1,1,1,1,1,1
09049-0005,21.0,2,2,2,2,2,2,2,2
09049-0005,25.0,1,1,1,1,1,1,1,1
09049-0005,27.0,1,1,1,1,1,1,1,1
09049-0005,28.0,1,1,1,1,1,1,1,1
09049-0005,34.0,23,23,23,23,23,23,23,23
09049-0005,35.0,1,1,1,1,1,1,1,1
78638,28.0,1,1,1,1,1,1,1,1
78148-4444,6.0,1,1,1,1,1,1,1,1
78148-4444,20.0,1,1,1,1,1,1,1,1
78148-4444,21.0,2,2,2,2,2,2,2,2
01075,16.0,1,1,1,1,1,1,1,1
01075,20.0,1,1,1,1,1,1,1,1
30087,20.0,1,1,1,1,1,1,1,1
30087,26.0,1,1,1,1,1,1,1,1
76366,28.0,2,2,2,2,2,2,2,2
78112-0042,21.0,1,1,1,1,1,1,1,1
78216-7633,20.0,1,1,1,1,1,1,1,1
78224-1751,20.0,1,1,1,1,1,1,1,1
77109,23.0,1,1,1,1,1,1,1,1
78006-1054,20.0,1,1,1,1,1,1,1,1
78253-0012,21.0,1,1,1,1,1,1,1,1
78270-1904,35.0,1,1,1,1,1,1,1,1
78210-5717,20.0,1,1,1,1,1,1,1,1
20607-0014,35.0,1,1,1,1,1,1,1,1
78203-1135,3.0,2,2,2,2,2,2,2,2
78203-1135,11.0,1,1,1,1,1,1,1,1
78203-1135,19.0,2,2,2,2,2,2,2,2
78203-1135,20.0,1,1,1,1,1,1,1,1
78203-1135,31.0,2,2,2,2,2,2,2,2
85388,20.0,1,1,1,1,1,1,1,1
85388,24.0,1,1,1,1,1,1,1,1
63043,1.0,2,2,2,2,2,2,2,2
63043,4.0,1,1,1,1,1,1,1,1
63043,11.0,2,2,2,2,2,2,2,2
63043,12.0,2,2,2,2,2,2,2,2
63043,16.0,2,2,2,2,2,2,2,2
63043,18.0,1,1,1,1,1,1,1,1
63043,19.0,1,1,1,1,1,1,1,1
63043,20.0,2,2,2,2,2,2,2,2
63043,21.0,4,4,4,4,4,4,4,4
63043,22.0,3,3,3,3,3,3,3,3
63043,24.0,1,1,1,1,1,1,1,1
63043,28.0,1,1,1,1,1,1,1,1
63043,33.0,2,2,2,2,2,2,2,2
63043,34.0,1,1,1,1,1,1,1,1
63043,36.0,1,1,1,1,1,1,1,1
28315,23.0,1,1,1,1,1,1,1,1
78052-0903,23.0,1,1,1,1,1,1,1,1
78225-9641,28.0,1,1,1,1,1,1,1,1
19348,18.0,1,1,1,1,1,1,1,1
19348,35.0,1,1,1,1,1,1,1,1
06457,21.0,1,1,1,1,1,1,1,1
78270-0747,28.0,1,1,1,1,1,1,1,1
78112-0376,23.0,1,1,1,1,1,1,1,1
78002-5816,20.0,1,1,1,1,1,1,1,1
78269-0332,28.0,1,1,1,1,1,1,1,1
28390-0040,1.0,2,2,2,2,2,2,2,2
28390-0040,4.0,987,987,987,987,987,987,987,987
28390-0040,23.0,1,1,1,1,1,1,1,1
75555,2.0,1,1,1,1,1,1,1,1
75555,11.0,1,1,1,1,1,1,1,1
75555,21.0,1,1,1,1,1,1,1,1
38632,20.0,1,1,1,1,1,1,1,1
78201-0373,28.0,1,1,1,1,1,1,1,1
94534-7510,19.0,1,1,1,1,1,1,1,1
94534-7510,20.0,1,1,1,1,1,1,1,1
09094,20.0,1,1,1,1,1,1,1,1
78229-1689,20.0,1,1,1,1,1,1,1,1
78253-6052,20.0,1,1,1,1,1,1,1,1
95696,24.0,1,1,1,1,1,1,1,1
95696,35.0,2,2,2,2,2,2,2,2
95696,36.0,1,1,1,1,1,1,1,1
45243,20.0,1,1,1,1,1,1,1,1
78251-2492,20.0,1,1,1,1,1,1,1,1
78218-3804,11.0,1,1,1,1,1,1,1,1
78218-3804,19.0,1,1,1,1,1,1,1,1
78218-3804,20.0,1,1,1,1,1,1,1,1
31210,35.0,1,1,1,1,1,1,1,1
77088-7024,21.0,1,1,1,1,1,1,1,1
32114-3977,21.0,1,1,1,1,1,1,1,1
78247-3563,27.0,41,41,41,41,41,41,41,41
78247-3563,28.0,1,1,1,1,1,1,1,1
78247-3563,33.0,1,1,1,1,1,1,1,1
78247-3563,34.0,1,1,1,1,1,1,1,1
78419,23.0,1,1,1,1,1,1,1,1
78002-0249,23.0,1,1,1,1,1,1,1,1
78253-5611,22.0,2,2,2,2,2,2,2,2
78253-5611,28.0,1,1,1,1,1,1,1,1
78253-5611,32.0,2,2,2,2,2,2,2,2
02542,35.0,1,1,1,1,1,1,1,1
78265-4971,35.0,1,1,1,1,1,1,1,1
78246-1101,21.0,2,2,2,2,2,2,2,2
22032-2541,21.0,1,1,1,1,1,1,1,1
78209-6215,20.0,1,1,1,1,1,1,1,1
02446-0000,21.0,1,1,1,1,1,1,1,1
12211-1462,20.0,1,1,1,1,1,1,1,1
78228-0262,35.0,1,1,1,1,1,1,1,1
46556-5655,21.0,2,2,2,2,2,2,2,2
78209-3315,15.0,1,1,1,1,1,1,1,1
78209-3315,20.0,2,2,2,2,2,2,2,2
78209-3315,23.0,1,1,1,1,1,1,1,1
78209-3315,28.0,184,184,184,184,184,184,184,184
78044-0000,19.0,1,1,1,1,1,1,1,1
78044-0000,21.0,1,1,1,1,1,1,1,1
78044-0000,28.0,2,2,2,2,2,2,2,2
58203,21.0,1,1,1,1,1,1,1,1
28035,21.0,2,2,2,2,2,2,2,2
78232-4123,35.0,1,1,1,1,1,1,1,1
78247-1508,23.0,1,1,1,1,1,1,1,1
78245-1763,20.0,1,1,1,1,1,1,1,1
78212-1821,11.0,1,1,1,1,1,1,1,1
78212-1821,12.0,1,1,1,1,1,1,1,1
78212-1821,16.0,1,1,1,1,1,1,1,1
78212-1821,20.0,2,2,2,2,2,2,2,2
78212-1821,27.0,1,1,1,1,1,1,1,1
78212-1821,28.0,1,1,1,1,1,1,1,1
78212-1821,36.0,1,1,1,1,1,1,1,1
92596,20.0,2,2,2,2,2,2,2,2
96367-0017,20.0,1,1,1,1,1,1,1,1
31909-7542,28.0,1,1,1,1,1,1,1,1
78148-3123,12.0,3,3,3,3,3,3,3,3
78148-3123,16.0,2,2,2,2,2,2,2,2
